#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Mar 01 16:38:06 EST 2020,31,31,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ DelMaxTest3+ InsertTest1+ SizeTest2+ SizeTest4+ , ,DelMaxTest1- DelMaxTest2- DelMaxTest4- EverythingTest- GetMaxTest1- GetMaxTest2- GetMaxTest3- InsertTest2- InsertTest3- SizeTest1- SizeTest3- SortTest1- SortTest2- SortTest3- SortTest4- , ,
1,Sun Mar 01 16:38:23 EST 2020,31,0,BuildTestSuite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest3 InsertTest1 SizeTest2 SizeTest4 , ,DelMaxTest1 DelMaxTest2 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest2 InsertTest3 SizeTest1 SizeTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
2,Sun Mar 01 16:38:24 EST 2020,31,0,BuildTestSuite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest3 InsertTest1 SizeTest2 SizeTest4 , ,DelMaxTest1 DelMaxTest2 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest2 InsertTest3 SizeTest1 SizeTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
3,Sun Mar 01 16:38:31 EST 2020,31,0,InsertTestSuite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest3 InsertTest1 SizeTest2 SizeTest4 , ,DelMaxTest1 DelMaxTest2 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest2 InsertTest3 SizeTest1 SizeTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
4,Sun Mar 01 16:41:18 EST 2020,31,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest3 InsertTest1 SizeTest2 SizeTest4 , ,DelMaxTest1 DelMaxTest2 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest2 InsertTest3 SizeTest1 SizeTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
5,Sun Mar 01 16:55:01 EST 2020,31,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest3 InsertTest1 SizeTest2 SizeTest4 , ,DelMaxTest1 DelMaxTest2 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest2 InsertTest3 SizeTest1 SizeTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
6,Sun Mar 01 16:55:15 EST 2020,31,0,InsertTestSuite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest3 InsertTest1 SizeTest2 SizeTest4 , ,DelMaxTest1 DelMaxTest2 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest2 InsertTest3 SizeTest1 SizeTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
7,Sun Mar 01 17:15:52 EST 2020,59,28,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest2+ DelMaxTest3 GetMaxTest2+ InsertTest1 InsertTest2+ InsertTest3+ SizeTest1+ SizeTest2 SizeTest3+ SizeTest4 , ,DelMaxTest1 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
8,Sun Mar 01 17:31:08 EST 2020,63,4,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest2 DelMaxTest3 DelMaxTest4+ GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMaxTest1 EverythingTest GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
9,Sun Mar 01 18:03:19 EST 2020,68,5,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1+ DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EverythingTest GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
